2025-11-16T14:59:01.000000000Z [inf]  Starting Container
2025-11-16T14:59:02.561381671Z [err]  npm warn config production Use `--omit=dev` instead.
2025-11-16T14:59:03.618159510Z [inf]  Prisma schema loaded from prisma/schema.prisma
2025-11-16T14:59:03.618171344Z [inf]  Datasource "db": PostgreSQL database "railway", schema "public" at "postgres.railway.internal:5432"
2025-11-16T14:59:03.879936474Z [inf]  
2025-11-16T14:59:03.879947529Z [inf]  4 migrations found in prisma/migrations
2025-11-16T14:59:03.879956647Z [inf]  
2025-11-16T14:59:03.996903995Z [inf]  
2025-11-16T14:59:03.996910712Z [inf]  No pending migrations to apply.
2025-11-16T14:59:04.707251113Z [inf]     - Local:        http://localhost:8080
2025-11-16T14:59:04.707273119Z [err]  npm warn config production Use `--omit=dev` instead.
2025-11-16T14:59:04.707275650Z [inf]     - Network:      http://10.136.25.118:8080
2025-11-16T14:59:04.707286867Z [inf]  
2025-11-16T14:59:04.707287915Z [inf]  
2025-11-16T14:59:04.707300085Z [inf]  > web-audit-pro@1.2.2 start
2025-11-16T14:59:04.707301428Z [inf]   ✓ Starting...
2025-11-16T14:59:04.707315029Z [inf]  > next start
2025-11-16T14:59:04.707328482Z [inf]  
2025-11-16T14:59:04.707347492Z [inf]     ▲ Next.js 15.4.6
2025-11-16T14:59:05.656853320Z [err]   ⚠ "next start" does not work with "output: standalone" configuration. Use "node .next/standalone/server.js" instead.
2025-11-16T14:59:05.656860739Z [inf]   ✓ Ready in 1025ms
2025-11-16T15:33:14.471423768Z [inf]  🔍 Getting domain authority for: henryadams.co.uk
2025-11-16T15:33:14.471428723Z [inf]  🔍 Quick tech detection for: https://henryadams.co.uk
2025-11-16T15:33:14.471434914Z [inf]  ✅ Domain authority retrieved: 3.23/10 (rank: 6103377)
2025-11-16T15:33:14.471440424Z [inf]  ⏳ Navigating to https://henryadams.co.uk for quick detection...
2025-11-16T15:33:15.447189048Z [inf]  ✅ Page loaded, status: 200
2025-11-16T15:33:16.702043745Z [inf]  📄 HTML content length: 191947 characters
2025-11-16T15:33:16.702058488Z [inf]  📋 Response headers: cache-control, content-encoding, content-length, content-type, date, expires, server, strict-transport-security, vary, x-powered-by
2025-11-16T15:33:16.821203093Z [inf]  🔍 Starting pattern-based detection...
2025-11-16T15:33:16.847304050Z [inf]  ⚠️ No CMS detected via patterns
2025-11-16T15:33:16.847319150Z [inf]  🔎 Attempting DNS-based hosting detection for https://henryadams.co.uk...
2025-11-16T15:33:16.847327418Z [inf]  
2025-11-16T15:33:16.847334508Z [inf]  🔎 Starting DNS-based hosting detection for https://henryadams.co.uk
2025-11-16T15:33:16.847341071Z [inf]     Cleaned domain: henryadams.co.uk
2025-11-16T15:33:16.847348660Z [inf]  🔍 DNS Layer 1: Checking nameservers for henryadams.co.uk...
2025-11-16T15:33:16.847360302Z [inf]     Found nameservers: ns1072.ui-dns.de, ns1072.ui-dns.com, ns1072.ui-dns.biz, ns1072.ui-dns.org
2025-11-16T15:33:16.847367220Z [inf]     ⚠️ No nameserver patterns matched
2025-11-16T15:33:16.848584031Z [inf]  🔍 DNS Layer 2: Resolving IP address for henryadams.co.uk...
2025-11-16T15:33:16.857474824Z [inf]     Found IP: 164.177.133.16
2025-11-16T15:33:16.857488637Z [inf]     🌐 Querying IPinfo.io for IP 164.177.133.16...
2025-11-16T15:33:17.305457121Z [inf]    "ip": "164.177.133.16",
2025-11-16T15:33:17.305468877Z [inf]    "hostname": "1063983-db2.rockitdesign.co.uk",
2025-11-16T15:33:17.305476037Z [inf]    "city": "London",
2025-11-16T15:33:17.305482769Z [inf]    "region": "England",
2025-11-16T15:33:17.305496377Z [inf]    "country": "GB",
2025-11-16T15:33:17.305508731Z [inf]    "loc": "51.5085,-0.1257",
2025-11-16T15:33:17.305516039Z [inf]    "org": "AS15395 Rackspace Ltd.",
2025-11-16T15:33:17.305523508Z [inf]    "postal": "E1W",
2025-11-16T15:33:17.305531558Z [inf]    "timezone": "Europe/London"
2025-11-16T15:33:17.305539100Z [inf]  }
2025-11-16T15:33:17.305544123Z [inf]     📌 Using organization name: Rackspace Ltd.
2025-11-16T15:33:17.305549436Z [inf]  ✅ Hosting detected via IP/ASN: Rackspace Ltd.
2025-11-16T15:33:17.305554874Z [inf]  
2025-11-16T15:33:17.305560596Z [inf]  ✅ DNS hosting detection: Rackspace Ltd. (ip-asn, medium confidence)
2025-11-16T15:33:17.305566429Z [inf]  🔄 Starting hybrid tech stack detection for https://henryadams.co.uk
2025-11-16T15:33:17.305571112Z [inf]  📊 Pattern detection: 1 technologies found, medium confidence
2025-11-16T15:33:17.305576119Z [inf]  🧠 Only 1 technologies detected, AI can find more - using Claude AI
2025-11-16T15:33:17.305670917Z [inf]     API Response: {
2025-11-16T15:33:22.698005252Z [inf]  🧠 Claude AI tech stack analysis: Custom built website running on Nginx with Plesk control panel. No clear CMS signatures detected. Hosting confirmed as Rackspace from previous pattern detection. Nginx server header and Plesk control panel present in HTTP headers.
2025-11-16T15:33:22.698018976Z [inf]  ✅ Claude AI analysis complete in 5701ms
2025-11-16T15:33:22.698027155Z [inf]  📊 Final results: 2 technologies (1 added by AI)
2025-11-16T15:33:22.698033328Z [inf]  🎯 Hybrid detection: ai-enhanced, medium confidence, AI used: true, Cost: $0.010
2025-11-16T15:33:22.698039358Z [inf]  ✅ Quick detection complete for https://henryadams.co.uk: {
2025-11-16T15:33:22.698045801Z [inf]    "hosting": "Rackspace Ltd.",
2025-11-16T15:33:22.698051795Z [inf]    "cms": "Custom"
2025-11-16T15:33:22.698057716Z [inf]  }
2025-11-16T15:33:26.546458101Z [inf]  📊 Audit configuration: maxPages=250, smartSampling=true, scope=single
2025-11-16T15:33:31.577480079Z [inf]  💾 [Audit Start] Memory: 82MB used / 89MB total
2025-11-16T15:33:31.577492293Z [inf]  Processing section 1/1: performance
2025-11-16T15:33:31.601357288Z [inf]  🔧 Running technical audit...
2025-11-16T15:33:31.603614917Z [inf]  🔧 Starting technical audit for https://henryadams.co.uk (scope: single)
2025-11-16T15:33:31.603622120Z [inf]  🤖 Checking robots.txt compliance for https://henryadams.co.uk
2025-11-16T15:33:31.737163228Z [inf]  🌐 Fetching main page with browser rendering: https://henryadams.co.uk
2025-11-16T15:33:51.735670095Z [inf]  📸 Captured 43 images from browser network activity
2025-11-16T15:33:51.735683674Z [inf]  📍 Final URL after redirects: https://www.henryadams.co.uk/
2025-11-16T15:33:51.735690890Z [inf]  🔍 Validating structured data...
2025-11-16T15:33:51.735698773Z [inf]  📊 Structured data: 0 items found, 0 invalid
2025-11-16T15:33:51.735705473Z [inf]  Could not get size for https://secure.hiss3lark.com/178675.png: fetch failed
2025-11-16T15:33:51.735712598Z [inf]  📊 Image analysis: 26 from browser, 0 fetched, 26 total
2025-11-16T15:33:57.363715285Z [inf]  ✓ Robots.txt found at https://henryadams.co.uk/robots.txt
2025-11-16T15:33:57.363726620Z [inf]  🔍 Single page audit - analyzing main URL only
2025-11-16T15:33:57.363734098Z [inf]  📊 Analyzing Core Web Vitals for all discovered pages...
2025-11-16T15:33:57.374447804Z [inf]  ⚡ Processing pages in parallel (3 at a time)
2025-11-16T15:33:57.506888262Z [inf]  ✅ Aggregate metrics calculated from 1 pages
2025-11-16T15:33:57.506903670Z [inf]  📊 Analyzing text-to-HTML ratio...
2025-11-16T15:33:57.506911389Z [inf]  📊 Analyzing performance for https://henryadams.co.uk
2025-11-16T15:33:57.506921217Z [inf]  📊 Analyzing performance for https://henryadams.co.uk (real data)
2025-11-16T15:33:57.506927660Z [inf]  💾 Cached: https://henryadams.co.uk (expires in 24h)
2025-11-16T15:33:57.506933512Z [inf]  📊 Calculating aggregate performance metrics...
2025-11-16T15:33:57.514195241Z [inf]  📈 Text-to-HTML ratio: 1/1 pages have low ratio
2025-11-16T15:33:57.514196565Z [inf]  🔍 Scanning for unminified JS/CSS files on https://henryadams.co.uk
2025-11-16T15:33:57.514204297Z [inf]  🖼️ Analyzing images across discovered pages...
2025-11-16T15:33:57.514209686Z [inf]  📊 Analyzing images on 0 pages (scope: single, limit: 0)
2025-11-16T15:33:57.514213993Z [inf]  ⚡ Analyzing images on 0 pages in parallel
2025-11-16T15:33:57.514225721Z [inf]  📸 Found 0 images using legacy formats
2025-11-16T15:33:57.514230379Z [inf]  📦 Detecting unminified JavaScript and CSS files...
2025-11-16T15:33:57.517781140Z [inf]  Found 30 JavaScript files and 13 CSS files
2025-11-16T15:33:57.838458230Z [inf]  Could not analyze file https://secure.hiss3lark.com/js/178675.js: TypeError: fetch failed
2025-11-16T15:33:57.838464837Z [inf]      at async p (.next/server/chunks/6011.js:1:11399)
2025-11-16T15:33:57.838468898Z [inf]      at async q (.next/server/chunks/6011.js:1:13255)
2025-11-16T15:33:57.838472844Z [inf]      at async u (.next/server/chunks/6011.js:1:25674)
2025-11-16T15:33:57.838476814Z [inf]      at async Timeout._onTimeout (.next/server/app/api/audit/route.js:73:6307) {
2025-11-16T15:33:57.838481938Z [inf]    [cause]: [Error: unable to verify the first certificate] {
2025-11-16T15:33:57.838487821Z [inf]      code: 'UNABLE_TO_VERIFY_LEAF_SIGNATURE'
2025-11-16T15:33:57.838492762Z [inf]    }
2025-11-16T15:33:57.838497056Z [inf]  }
2025-11-16T15:33:58.440310386Z [inf]  Found 0 subdomain(s) to check
2025-11-16T15:33:58.440326593Z [inf]  ✅ All subdomains protected by main domain's includeSubdomains directive
2025-11-16T15:33:58.440341862Z [inf]  ✅ Found 5 unminified JavaScript files and 7 unminified CSS files
2025-11-16T15:33:58.440347872Z [inf]  ⚠️  Found 12 unminified files:
2025-11-16T15:33:58.440354180Z [inf]     - 5 JavaScript files
2025-11-16T15:33:58.440359584Z [inf]     - 7 CSS files
2025-11-16T15:33:58.440365278Z [inf]  📱 Analyzing viewport responsiveness...
2025-11-16T15:33:58.440370975Z [inf]  🖥️ Starting viewport responsiveness analysis for: https://henryadams.co.uk
2025-11-16T15:33:58.440376272Z [inf]  📱 Analyzing Desktop Standard (1920x1080)
2025-11-16T15:33:58.440381775Z [inf]  📱 Analyzing Laptop (1440x900)
2025-11-16T15:33:58.440387962Z [inf]  📱 Analyzing Tablet Portrait (768x1024)
2025-11-16T15:33:58.440394261Z [inf]  📱 Analyzing Mobile Standard (375x667)
2025-11-16T15:33:58.440399913Z [inf]  ✅ Viewport analysis complete. Overall score: 100/100
2025-11-16T15:33:58.440404756Z [inf]  ✅ Viewport analysis complete. Score: 100/100
2025-11-16T15:33:58.440409916Z [inf]  🔒 Checking HSTS support...
2025-11-16T15:33:58.440414835Z [inf]  🔒 Checking HSTS support for henryadams.co.uk...
2025-11-16T15:33:58.440419196Z [inf]  Main domain HSTS: ✅ Enabled
2025-11-16T15:33:58.440423730Z [inf]    → Includes subdomains: ✅ Yes
2025-11-16T15:33:58.444576980Z [inf]  🤖 Checking for llms.txt...
2025-11-16T15:33:58.446320362Z [inf]  🤖 Checking for llms.txt at https://henryadams.co.uk/llms.txt...
2025-11-16T15:33:58.579349440Z [inf]  ❌ llms.txt not found (404)
2025-11-16T15:33:58.579361779Z [inf]  ⚠️  llms.txt not found - consider adding one for better LLM understanding
2025-11-16T15:33:58.581561018Z [inf]  ✅ Technical audit complete for https://henryadams.co.uk
2025-11-16T15:33:58.581569576Z [inf]     - Large images found: 0
2025-11-16T15:33:58.581575996Z [inf]     - 404 errors found: 0
2025-11-16T15:33:58.581582592Z [inf]  📊 Discovered 1 total pages during technical audit
2025-11-16T15:33:58.581589290Z [inf]  🔍 Running technology stack detection...
2025-11-16T15:33:58.581595928Z [inf]  🔍 Analyzing tech stack for: https://henryadams.co.uk
2025-11-16T15:33:58.583663233Z [inf]  
2025-11-16T15:33:58.583674719Z [inf]  🔎 Starting DNS-based hosting detection for https://henryadams.co.uk
2025-11-16T15:33:58.583683532Z [inf]     Cleaned domain: henryadams.co.uk
2025-11-16T15:33:58.583690005Z [inf]  🔍 DNS Layer 1: Checking nameservers for henryadams.co.uk...
2025-11-16T15:33:58.612972207Z [inf]     Found nameservers: ns1072.ui-dns.com, ns1072.ui-dns.biz, ns1072.ui-dns.de, ns1072.ui-dns.org
2025-11-16T15:33:58.612984201Z [inf]     ⚠️ No nameserver patterns matched
2025-11-16T15:33:58.612992259Z [inf]  🔍 DNS Layer 2: Resolving IP address for henryadams.co.uk...
2025-11-16T15:33:58.615137463Z [inf]     Found IP: 164.177.133.16
2025-11-16T15:33:58.615146579Z [inf]     🌐 Querying IPinfo.io for IP 164.177.133.16...
2025-11-16T15:33:58.754379702Z [inf]     API Response: {
2025-11-16T15:33:58.754392894Z [inf]    "ip": "164.177.133.16",
2025-11-16T15:33:58.754405629Z [inf]    "hostname": "1063983-db2.rockitdesign.co.uk",
2025-11-16T15:33:58.754412498Z [inf]    "city": "London",
2025-11-16T15:33:58.754417841Z [inf]    "region": "England",
2025-11-16T15:33:58.754423753Z [inf]    "country": "GB",
2025-11-16T15:33:58.754429788Z [inf]    "loc": "51.5085,-0.1257",
2025-11-16T15:33:58.754434933Z [inf]    "org": "AS15395 Rackspace Ltd.",
2025-11-16T15:33:58.754441466Z [inf]    "postal": "E1W",
2025-11-16T15:33:58.754447747Z [inf]    "timezone": "Europe/London"
2025-11-16T15:33:58.754453969Z [inf]  }
2025-11-16T15:33:58.756104061Z [inf]     📌 Using organization name: Rackspace Ltd.
2025-11-16T15:33:58.756113264Z [inf]  ✅ Hosting detected via IP/ASN: Rackspace Ltd.
2025-11-16T15:33:58.756120337Z [inf]  
2025-11-16T15:34:00.812119963Z [inf]  ⚠️  CMS set to Magento via file path detection. Matched patterns: mage/
