2025-11-17T11:07:59.000000000Z [inf]  Starting Container
2025-11-17T11:08:01.284485796Z [err]  npm warn config production Use `--omit=dev` instead.
2025-11-17T11:08:02.087187720Z [inf]  Prisma schema loaded from prisma/schema.prisma
2025-11-17T11:08:02.087193389Z [inf]  Datasource "db": PostgreSQL database "railway", schema "public" at "postgres.railway.internal:5432"
2025-11-17T11:08:02.234269099Z [inf]  
2025-11-17T11:08:02.234276380Z [inf]  4 migrations found in prisma/migrations
2025-11-17T11:08:02.234282618Z [inf]  
2025-11-17T11:08:02.938672507Z [inf]  
2025-11-17T11:08:02.938687641Z [inf]  No pending migrations to apply.
2025-11-17T11:08:02.938694078Z [err]  npm warn config production Use `--omit=dev` instead.
2025-11-17T11:08:02.938700095Z [inf]  
2025-11-17T11:08:02.938705815Z [inf]  > web-audit-pro@1.5.10 start
2025-11-17T11:08:02.938710749Z [inf]  > next start
2025-11-17T11:08:02.938720602Z [inf]  
2025-11-17T11:08:02.989148796Z [inf]     ▲ Next.js 15.4.6
2025-11-17T11:08:02.989157580Z [inf]     - Local:        http://localhost:8080
2025-11-17T11:08:02.989164976Z [inf]     - Network:      http://10.158.240.196:8080
2025-11-17T11:08:02.989172537Z [inf]  
2025-11-17T11:08:02.989179721Z [inf]   ✓ Starting...
2025-11-17T11:08:03.991865234Z [err]   ⚠ "next start" does not work with "output: standalone" configuration. Use "node .next/standalone/server.js" instead.
2025-11-17T11:08:03.991879451Z [inf]   ✓ Ready in 975ms
2025-11-17T11:08:04.000000000Z [inf]  Stopping Container
2025-11-17T11:08:10.093838447Z [err]  npm error path /app
2025-11-17T11:08:10.093845939Z [err]  npm error command failed
2025-11-17T11:08:10.093852925Z [err]  npm error signal SIGTERM
2025-11-17T11:08:10.093859880Z [err]  npm error command sh -c next start
2025-11-17T11:08:10.093866731Z [err]  npm error A complete log of this run can be found in: /root/.npm/_logs/2025-11-17T10_51_37_383Z-debug-0.log
2025-11-17T11:08:10.661457316Z [err]  2025-11-17 11:08:04.239 UTC [4411] LOG:  could not receive data from client: Connection reset by peer
2025-11-17T11:08:53.595675983Z [inf]     ✅ Matched nameserver pattern: cortney.ns.cloudflare.com → Cloudflare
2025-11-17T11:08:53.595688882Z [inf]  ✅ Hosting detected via nameservers: Cloudflare
2025-11-17T11:08:53.595698338Z [inf]  
2025-11-17T11:08:53.595705244Z [inf]  ✅ DNS hosting detection: Cloudflare (nameserver, high confidence)
2025-11-17T11:08:53.595712133Z [inf]  🔄 Starting hybrid tech stack detection for https://pmwcom.co.uk
2025-11-17T11:08:53.595722492Z [inf]  📊 Pattern detection: 3 technologies found, high confidence
2025-11-17T11:08:53.595790385Z [inf]  🔍 Getting domain authority for: pmwcom.co.uk
2025-11-17T11:08:53.595796760Z [inf]  🔍 Quick tech detection for: https://pmwcom.co.uk
2025-11-17T11:08:53.595805481Z [inf]  ✅ Domain authority retrieved: 3.2/10 (rank: 6487103)
2025-11-17T11:08:53.595813600Z [inf]  ⏳ Navigating to https://pmwcom.co.uk for quick detection...
